Region,BoxName,RA,Dec,VLSR,Priority
Serp Aquila,serpAquila_map_18,18:27:49,-3:41:00,7.5,4
Serp Aquila,serpAquila_map_19,18:29:12,-3:44:00,7.5,4
Serpens East,serpE_map_1 ,18:37:52,-1:49:00,7.5,6
Serpens East,serpE_map_2 ,18:37:52,-1:39:00,7.5,6
Serpens East,serpE_map_3 ,18:38:28,-1:11:00,7.5,6
Serpens East,serpE_map_4 ,18:36:42,-1:12:00,7.5,6
Serpens East,serpE_map_5 ,18:36:12,-1:12:00,7.5,6
Serpens Main,serpM_map_1 ,18:29:00,0:32:00,7.5,7
Serpens Main,serpM_map_2 ,18:29:40,0:35:30,7.5,7
Serpens Main,serpM_map_3 ,18:29:30,0:28:00,7.5,7
Serpens North,serpN_map_1 ,18:38:32,0:34:00,7.5,5
Serpens North,serpN_map_2 ,18:39:12,0:32:00,7.5,5
Serpens North,serpN_map_3 ,18:39:17,0:22:00,7.5,5
Serpens North,serpN_map_4 ,18:39:20,0:14:30,7.5,5
,,,,,
Pipe nebula,Pipe_B59,17:11:24,-27:25:34,3.5,1
Pipe nebula,Pipe_Core40,17:21:06,-26:50:52,3.3,1
Pipe nebula,B68,17:22:40,-23:49:40,3.35,2
Pipe nebula,Core 87,17:34:11,-25:50:15,4.47,2
,,,,,
Cepheus,L1251_map_1,22:38:49.653,75:11:35.54,-3.8,1
Cepheus,L1251_map_2,22:36:12.972,75:09:48.57,-3.8,1
Cepheus,L1251_map_3,22:35:33.730,75:19:50.19,-3.8,1
Cepheus,L1251_map_4,22:30:53.942,75:13:32.44,-3.8,1
Cepheus,L1251_map_5,22:28:17.818,75:13:32.44,-3.8,1
Cepheus,L1251_map_6,22:24:10.141,75:04:50.61,-3.8,1
Cepheus,L1251_map_7,22:21:34.815,75:04:50.61,-3.8,1
Cepheus,L1241_map_1,21:59:54.603,76:33:35.70,-3.7,5
Cepheus,L1228_map_1,20:57:30.038,77:34:07.72,-7.6,2
Cepheus,L1228_map_2,20:57:26.519,77:44:02.04,-7.6,2
Cepheus,L1228_map_3,20:54:20.081,77:44:02.04,-7.6,2
Cepheus,L1228_map_4,21:03:55.189,77:19:29.44,-7.6,3
Cepheus,L1228_map_5,21:01:26.613,77:05:34.71,-7.6,3
Cepheus,L1157_map_1,20:43:20.029,67:51:08.40,2.9,3
Cepheus,L1157_map_2,20:40:47.876,67:23:05.38,2.9,3
Cepheus,L1157_map_3,20:44:34.424,67:41:08.06,2.9,3
Cepheus,L1157_map_4,20:39:10.386,68:00:30.34,2.9,3
Cepheus,L1157_map_5,20:36:05.971,67:54:22.61,2.9,3
Cepheus,L1157_map_6,20:45:49.671,67:57:22.27,2.9,4
Cepheus,L1172_map_1,21:02:19.213,67:52:55.57,2.7,4
Cepheus,L1172_map_2,21:02:19.213,67:42:53.62,2.7,4
Cepheus,L1172_map_3,21:00:14.946,68:11:11.52,2.7,4
Cepheus,L1172_map_4,21:02:01.780,68:11:11.52,2.7,4
Cepheus,L1172_map_5,21:03:48.987,68:11:11.52,2.7,4
,,,,,
IC5146,IC5146_filament,21:46:10,47:35:30,3.7,1
IC5146,IC5146_newbox1,21:47:22,47:32:02,3.7,1
IC5146,IC5146_newbox2,21:45:26,47:38:00,3.7,1
,,,,,
CrA,CrA_East,19:10:18,-37:08:30,5.7,1
CrA,CrA_West,19:01:48,-36:56:34,5.7,1
